NavioShip,OperaçOperat,BandeiraFlag,Cheg/Arrivald/m/y,MercadoriaGoods,PesoWeight
HONG PROSPERITY,EMBDESC,PANAMENHA,21/01/2025 07:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,126004500
SEASPAN HARRIER,EMBDESC,HONG KONG,21/01/2025 16:30:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,153015300
MSC DOMITILLE,EMB,PORTUGUESA,21/01/2025 23:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,1800
CORCOVADO,EMBDESC,LIBERIANA,22/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,10814760
RDO FORTUNE,EMB,LIBERIANA,22/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,2106
SEASPAN OSPREY,EMBDESC,HONG KONG,22/01/2025 05:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,153015300
GREENLAND,EMBDESC,MALTESA,22/01/2025 10:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,180014400
CMA CGM SAO PAULO,EMBDESC,MALTESA,22/01/2025 12:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MERCOSUL SANTOS,EMBDESC,BRASILEIRA,22/01/2025 12:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
LOG-IN PANTANAL (REB),EMBDESC,BRASILEIRA,22/01/2025 17:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,72007200
HYUNDAI GOODWILL,EMBDESC,COREANA,22/01/2025 18:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,126004500
IRENES RULE,EMBDESC,ILHAS MARSHALL,23/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,4536360
MONTE ROSA,EMBDESC,SINGAPURENSE,23/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
VICENTE PINZÓN,EMBDESC,BRASILEIRA,23/01/2025 01:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
COSCO SHIPPING MEXICO,EMBDESC,HONG KONG,23/01/2025 07:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,360010800
EVER LOVELY,EMBDESC,SINGAPURENSE,23/01/2025 07:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,21600180
MAERSK LOTA,EMBDESC,DINAMARQUESA,23/01/2025 20:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
GSL ARCADIA,EMBDESC,LIBERIANA,24/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
PEDRO ÁLVARES CABRAL,EMBDESC,BRASILEIRA,24/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,36003600
MSC SARA ELENA,EMBDESC,PORTUGUESA,24/01/2025 01:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,180012600
MSC SHUBA B,EMBDESC,PORTUGUESA,24/01/2025 03:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,270001800
SAN ALBERTO,EMBDESC,LIBERIANA,24/01/2025 08:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
AS CASPRIA,EMBDESC,LIBERIANA,24/01/2025 10:21:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MSC KALAMATA VII,EMBDESC,LIBERIANA,24/01/2025 13:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,180027000
CAPE PIONEER,EMBDESC,CIPRIOTA,25/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,18666126
SAN LORENZO MAERSK,EMBDESC,DINAMARQUESA,25/01/2025 03:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
SEATTLE C,EMBDESC,CIPRIOTA,25/01/2025 07:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,108003600
MAERSK MONTE ALEGRE,EMBDESC,SINGAPURENSE,25/01/2025 08:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
KOTA PURI,EMBDESC,HONG KONG,25/01/2025 22:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,126004500
MSC ALBANY,EMBDESC,LIBERIANA,25/01/2025 23:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,180001800
DALIAN EXPRESS,EMBDESC,LIBERIANA,26/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,162015300
SAN RAPHAEL MAERSK,EMBDESC,DINAMARQUESA,26/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
COSCO SHIPPING DANUBE,EMBDESC,HONG KONG,26/01/2025 07:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,36009000
ZIM USA,EMBDESC,HONG KONG,26/01/2025 07:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,90009000
CMA CGM AMAZONIA,EMBDESC,MALTESA,26/01/2025 12:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
LOG-IN JATOBÁ,EMBDESC,BRASILEIRA,26/01/2025 14:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,72007200
TRAIGUEN,EMBDESC,LIBERIANA,26/01/2025 18:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
DUSSELDORF EXPRESS,EMBDESC,BERMUDAS,27/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,128344266
NC BRAVO (REB S/L),EMBDESC,BRASILEIRA,27/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,45006300
MSC DENISSE X,EMBDESC,LIBERIANA,27/01/2025 01:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,270001800
MSC ALGHERO,EMBDESC,PANAMENHA,27/01/2025 03:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,180027000
LOG-IN DISCOVERY (REB S/L,EMBDESC,BRASILEIRA,27/01/2025 07:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,72007200
XIN CHANG SHA,EMBDESC,CHINESA,27/01/2025 07:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,36009000
MSC VANESSA,EMBDESC,PANAMENHA,27/01/2025 11:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,180014400
MSC CHIARA X,EMBDESC,LIBERIANA,28/01/2025 03:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,180027000
CAPE BYRON,EMBDESC,ILHAS MARSHALL,28/01/2025 12:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,126004500
CAPE ARTEMISIO,EMBDESC,MALTESA,29/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,21852180
GSL ARCADIA,EMBDESC,LIBERIANA,29/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MAERSK RUBICON,EMBDESC,SINGAPURENSE,29/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MAERSK LAVRAS,EMBDESC,DINAMARQUESA,29/01/2025 01:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MONTE TAMARO,EMBDESC,SINGAPURENSE,29/01/2025 01:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
LOG-IN PANTANAL (REB),EMBDESC,BRASILEIRA,29/01/2025 17:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,72007200
BREMERHAVEN EXPRESS,EMBDESC,MALTESA,30/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,17370360
IRENES RESOLVE,EMBDESC,LIBERIANA,30/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,4536360
SEBASTIÃO CABOTO,EMBDESC,BRASILEIRA,30/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,36003600
MAERSK GANGES (REB),EMBDESC,BRASILEIRA,30/01/2025 01:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
COSCO SHIPPING URUGUAY,EMBDESC,HONG KONG,30/01/2025 07:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,90003600
COSCO SHIPPING RHINE,EMBDESC,HONG KONG,31/01/2025 07:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,36009000
AS SABINE,EMBDESC,LIBERIANA,31/01/2025 08:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MAERSK RUBICON,EMBDESC,SINGAPURENSE,01/02/2025 02:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
SAN MARCO MAERSK,EMBDESC,DINAMARQUESA,01/02/2025 03:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
BBC ECHO,DESC,ANTIGUANA,01/02/2025 06:00:00,CONTEINERES CHEIOS,540
PALENA,EMBDESC,LIBERIANA,01/02/2025 11:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,162015300
SAN ANTONIO MAERSK,EMBDESC,DINAMARQUESA,02/02/2025 02:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MAERSK LA PAZ,EMBDESC,DINAMARQUESA,02/02/2025 14:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MAERSK LOTA,EMBDESC,DINAMARQUESA,02/02/2025 18:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
HYUNDAI PARAMOUNT,EMBDESC,LIBERIANA,02/02/2025 19:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,126004500
AS CASPRIA,EMBDESC,LIBERIANA,03/02/2025 10:24:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
CAP SAN TAINARO,EMBDESC,PANAMENHA,04/02/2025 08:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
HYUNDAI SUPREME,EMBDESC,ILHAS MARSHALL,05/02/2025 19:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,126004500
BARTOLOMEU DIAS,EMBDESC,BRASILEIRA,06/02/2025 02:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
NYK DIANA,EMB,PANAMENHA,06/02/2025 11:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,1530
SEASPAN HARRIER,EMBDESC,HONG KONG,06/02/2025 11:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,153001530
MAERSK LAMANAI,EMBDESC,DINAMARQUESA,06/02/2025 20:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
